market,symbol,status,baseAsset,quoteAsset,pricePrecision,quantityPrecision,baseAssetPrecision,quotePrecision,tickSize,minQty,maxQty,stepSize,minNotional
um-futures-cross,AXSUSDT,TRADING,AXS,USDT,5,0,8,8,0.00100,1,10000000,1,5.0
um-futures-cross,ALPHAUSDT,TRADING,ALPHA,USDT,5,0,8,8,0.00001,1,5000000,1,5.0
um-futures-cross,ZENUSDT,TRADING,ZEN,USDT,3,1,8,8,0.001,0.1,1000000,0.1,5.0
um-futures-cross,SKLUSDT,TRADING,SKL,USDT,5,0,8,8,0.00001,1,10000000,1,5.0
um-futures-cross,GRTUSDT,TRADING,GRT,USDT,5,0,8,8,0.00001,1,1000000,1,5.0
um-futures-cross,1INCHUSDT,TRADING,1INCH,USDT,4,0,8,8,0.0001,1,1000000,1,5.0
um-futures-cross,BTCBUSD,TRADING,BTC,BUSD,1,3,8,8,0.1,0.001,500,0.001,5.0
um-futures-cross,CHZUSDT,TRADING,CHZ,USDT,5,0,8,8,0.00001,1,10000000,1,5.0
um-futures-cross,SANDUSDT,TRADING,SAND,USDT,5,0,8,8,0.00010,1,10000000,1,5.0
um-futures-cross,ANKRUSDT,TRADING,ANKR,USDT,6,0,8,8,0.000010,1,60000000,1,5.0
um-futures-cross,BTSUSDT,SETTLING,BTS,USDT,5,0,8,8,0.00001,1,10000000,1,5.0
um-futures-cross,LITUSDT,TRADING,LIT,USDT,3,1,8,8,0.001,0.1,5000000,0.1,5.0
um-futures-cross,UNFIUSDT,TRADING,UNFI,USDT,3,1,8,8,0.001,0.1,100000,0.1,5.0
um-futures-cross,REEFUSDT,TRADING,REEF,USDT,6,0,8,8,0.000001,1,200000000,1,5.0
um-futures-cross,RVNUSDT,TRADING,RVN,USDT,5,0,8,8,0.00001,1,10000000,1,5.0
um-futures-cross,SFPUSDT,TRADING,SFP,USDT,4,0,8,8,0.0001,1,5000000,1,5.0
um-futures-cross,XEMUSDT,TRADING,XEM,USDT,4,0,8,8,0.0001,1,10000000,1,5.0
um-futures-cross,BTCSTUSDT,PENDING_TRADING,BTCST,USDT,3,1,8,8,0.001,0.1,1000000,0.1,5.0
um-futures-cross,COTIUSDT,TRADING,COTI,USDT,5,0,8,8,0.00001,1,5000000,1,5.0
um-futures-cross,CHRUSDT,TRADING,CHR,USDT,4,0,8,8,0.0001,1,1000000,1,5.0
um-futures-cross,MANAUSDT,TRADING,MANA,USDT,4,0,8,8,0.0001,1,1000000,1,5.0
um-futures-cross,ALICEUSDT,TRADING,ALICE,USDT,3,1,8,8,0.001,0.1,50000,0.1,5.0
um-futures-cross,HBARUSDT,TRADING,HBAR,USDT,5,0,8,8,0.00001,1,10000000,1,5.0
um-futures-cross,ONEUSDT,TRADING,ONE,USDT,5,0,8,8,0.00001,1,10000000,1,5.0
um-futures-cross,LINAUSDT,TRADING,LINA,USDT,5,0,8,8,0.00001,1,10000000,1,5.0
um-futures-cross,STMXUSDT,TRADING,STMX,USDT,5,0,8,8,0.00001,1,10000000,1,5.0
um-futures-cross,DENTUSDT,TRADING,DENT,USDT,6,0,8,8,0.000001,1,50000000,1,5.0
um-futures-cross,CELRUSDT,TRADING,CELR,USDT,5,0,8,8,0.00001,1,10000000,1,5.0
um-futures-cross,HOTUSDT,TRADING,HOT,USDT,6,0,8,8,0.000001,1,20000000,1,5.0
um-futures-cross,MTLUSDT,TRADING,MTL,USDT,4,0,8,8,0.0001,1,1000000,1,5.0
um-futures-cross,OGNUSDT,TRADING,OGN,USDT,4,0,8,8,0.0001,1,1000000,1,5.0
um-futures-cross,NKNUSDT,TRADING,NKN,USDT,5,0,8,8,0.00001,1,10000000,1,5.0
um-futures-cross,SCUSDT,SETTLING,SC,USDT,6,0,8,8,0.000001,1,10000000,1,5.0
um-futures-cross,DGBUSDT,TRADING,DGB,USDT,5,0,8,8,0.00001,1,10000000,1,5.0
um-futures-cross,1000SHIBUSDT,TRADING,1000SHIB,USDT,6,0,8,8,0.000001,1,100000000,1,5.0
um-futures-cross,BAKEUSDT,TRADING,BAKE,USDT,4,0,8,8,0.0001,1,500000,1,5.0
um-futures-cross,GTCUSDT,TRADING,GTC,USDT,3,1,8,8,0.001,0.1,100000,0.1,5.0
um-futures-cross,ETHBUSD,TRADING,ETH,BUSD,2,3,8,8,0.01,0.001,10000,0.001,5.0
um-futures-cross,BTCDOMUSDT,TRADING,BTCDOM,USDT,1,3,8,8,0.1,0.001,10000,0.001,5.0
um-futures-cross,BNBBUSD,TRADING,BNB,BUSD,3,2,8,8,0.010,0.01,10000,0.01,5.0
um-futures-cross,ADABUSD,TRADING,ADA,BUSD,5,0,8,8,0.00010,1,10000000,1,5.0
um-futures-cross,XRPBUSD,TRADING,XRP,BUSD,4,1,8,8,0.0001,0.1,4000000,0.1,5.0
um-futures-cross,IOTXUSDT,TRADING,IOTX,USDT,5,0,8,8,0.00001,1,10000000,1,5.0
um-futures-cross,DOGEBUSD,TRADING,DOGE,BUSD,6,0,8,8,0.000010,1,10000000,1,5.0
um-futures-cross,AUDIOUSDT,TRADING,AUDIO,USDT,4,0,8,8,0.0001,1,1000000,1,5.0
um-futures-cross,RAYUSDT,SETTLING,RAY,USDT,3,1,8,8,0.001,0.1,500000,0.1,5.0
um-futures-cross,C98USDT,TRADING,C98,USDT,4,0,8,8,0.0001,1,250000,1,5.0
um-futures-cross,MASKUSDT,TRADING,MASK,USDT,4,0,8,8,0.0010,1,5000000,1,5.0
um-futures-cross,ATAUSDT,TRADING,ATA,USDT,4,0,8,8,0.0001,1,10000000,1,5.0
um-futures-cross,SOLBUSD,TRADING,SOL,BUSD,4,0,8,8,0.0010,1,1000000,1,5.0
um-futures-cross,FTTBUSD,SETTLING,FTT,BUSD,3,1,8,8,0.001,0.1,1000000,0.1,5.0
um-futures-cross,DYDXUSDT,TRADING,DYDX,USDT,3,1,8,8,0.001,0.1,1000000,0.1,5.0
um-futures-cross,1000XECUSDT,TRADING,1000XEC,USDT,5,0,8,8,0.00001,1,50000000,1,5.0
um-futures-cross,GALAUSDT,TRADING,GALA,USDT,5,0,8,8,0.00001,1,10000000,1,5.0
um-futures-cross,CELOUSDT,TRADING,CELO,USDT,3,1,8,8,0.001,0.1,1000000,0.1,5.0
um-futures-cross,ARUSDT,TRADING,AR,USDT,3,1,8,8,0.001,0.1,1000000,0.1,5.0
um-futures-cross,KLAYUSDT,TRADING,KLAY,USDT,4,1,8,8,0.0001,0.1,5000000,0.1,5.0
um-futures-cross,ARPAUSDT,TRADING,ARPA,USDT,5,0,8,8,0.00001,1,10000000,1,5.0
um-futures-cross,CTSIUSDT,TRADING,CTSI,USDT,4,0,8,8,0.0001,1,1000000,1,5.0
um-futures-cross,LPTUSDT,TRADING,LPT,USDT,3,1,8,8,0.001,0.1,1000000,0.1,5.0
um-futures-cross,ENSUSDT,TRADING,ENS,USDT,3,1,8,8,0.001,0.1,1000000,0.1,5.0
um-futures-cross,PEOPLEUSDT,TRADING,PEOPLE,USDT,5,0,8,8,0.00001,1,10000000,1,5.0
um-futures-cross,ANTUSDT,TRADING,ANT,USDT,3,1,8,8,0.001,0.1,1000000,0.1,5.0
um-futures-cross,ROSEUSDT,TRADING,ROSE,USDT,5,0,8,8,0.00001,1,10000000,1,5.0
um-futures-cross,DUSKUSDT,TRADING,DUSK,USDT,5,0,8,8,0.00001,1,10000000,1,5.0
